galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,redshift
86,3.89762184E-16,6.10273176E-18,4.08507447E-16,7.14873556E-18,4.96592177E-16,5.94591776E-18,4.84841288E-16,5.80521889E-18,4.06255901E-16,4.86428150E-18,3.91561626E-16,5.77026554E-18,2.01557895E-16,2.59898370E-18,1.91741000000000E-02
87,2.02674973E-16,4.66676359E-18,1.93196833E-16,4.98234334E-18,2.27195386E-16,3.97583865E-18,2.10474850E-16,3.87708942E-18,1.77827950E-16,3.27571153E-18,1.47910746E-16,3.54200145E-18,7.96526292E-17,1.68734381E-18,3.34224000000000E-02
88,8.48789958E-16,8.59940853E-18,8.27178866E-16,9.90417758E-18,9.93573565E-16,8.23603470E-18,9.11171447E-16,7.55297790E-18,7.39263992E-16,6.80887228E-18,5.93198825E-16,7.10263100E-18,3.23593559E-16,2.98040661E-18,3.98087000000000E-02
89,2.70644841E-16,4.73618845E-18,2.76948884E-16,6.12190416E-18,3.39781443E-16,5.00720425E-18,3.22106963E-16,4.74674410E-18,2.96483237E-16,4.36913822E-18,2.83400231E-16,5.22042494E-18,1.42560780E-16,2.23215660E-18,4.58598000000000E-02
90,1.18467722E-15,1.09112799E-17,1.21003919E-15,1.33738470E-17,1.33045392E-15,9.80314740E-18,1.22348880E-15,1.01418721E-17,9.68277984E-16,8.02635186E-18,1.06463190E-15,9.80562232E-18,2.35504991E-16,2.81980515E-18,6.46371000000000E-02
91,1.64740351E-16,3.79328651E-18,1.62929421E-16,4.95209665E-18,1.85011941E-16,3.40804575E-18,1.71395568E-16,3.15722287E-18,1.46015761E-16,3.09316601E-18,1.36646796E-16,3.64983395E-18,7.23101969E-17,1.53180346E-18,3.38468000000000E-02
92,3.48979718E-16,5.78559858E-18,3.58426280E-16,6.60245515E-18,4.24619469E-16,5.86633430E-18,3.97740864E-16,4.76232694E-18,3.54160145E-16,5.21909690E-18,3.17102798E-16,5.84124839E-18,7.69838864E-17,1.55990506E-18,7.01115000000000E-02
93,4.63874152E-16,6.40865748E-18,4.87079520E-16,7.62648613E-18,6.03114881E-16,6.66587178E-18,5.80764329E-16,5.88394084E-18,5.09565280E-16,6.10124987E-18,5.01648804E-16,7.39256938E-18,2.58463978E-16,2.61859512E-18,3.33006000000000E-02
94,2.34207045E-16,4.74567828E-18,2.31206457E-16,5.53667429E-18,2.68905538E-16,4.21040970E-18,2.52580751E-16,3.95480303E-18,2.20597039E-16,4.06354709E-18,2.24284636E-16,4.75119723E-18,1.15451636E-16,2.12669769E-18,2.64604000000000E-02
95,2.97029547E-16,4.92433729E-18,2.85758873E-16,6.31664687E-18,3.21810025E-16,4.74236790E-18,2.94849204E-16,4.61662445E-18,2.34638608E-16,4.32220275E-18,2.16570628E-16,4.58778480E-18,9.34113228E-17,1.80673492E-18,4.77888000000000E-02
